Game,Max depth,Move Order,Winner
0,2,"['d', 'c', 'a', 'e', 'f', 'b']",1
1,3,"['b', 'a', 'd', 'e', 'f', 'c']",0
2,4,"['b', 'd', 'e', 'c', 'a', 'f']",0
3,5,"['e', 'a', 'b', 'd', 'f', 'c']",1
4,6,"['e', 'f', 'c', 'd', 'b', 'a']",1
5,2,"['d', 'e', 'f', 'a', 'b', 'c']",0
6,3,"['c', 'd', 'f', 'b', 'a', 'e']",0
7,4,"['d', 'e', 'b', 'c', 'a', 'f']",1
8,5,"['a', 'b', 'e', 'd', 'f', 'c']",0
9,6,"['b', 'e', 'a', 'd', 'c', 'f']",1
10,2,"['e', 'f', 'd', 'a', 'b', 'c']",0
11,3,"['a', 'c', 'b', 'd', 'f', 'e']",0
12,4,"['f', 'a', 'c', 'd', 'e', 'b']",0
13,5,"['a', 'f', 'd', 'c', 'b', 'e']",0
14,6,"['a', 'e', 'c', 'd', 'f', 'b']",1
15,2,"['b', 'e', 'd', 'c', 'f', 'a']",0
16,3,"['b', 'e', 'd', 'c', 'a', 'f']",0
17,4,"['f', 'a', 'd', 'c', 'b', 'e']",0
18,5,"['c', 'e', 'a', 'b', 'f', 'd']",0
19,6,"['f', 'a', 'b', 'd', 'e', 'c']",0
20,2,"['d', 'c', 'e', 'a', 'b', 'f']",1
21,3,"['d', 'c', 'f', 'e', 'a', 'b']",0
22,4,"['d', 'e', 'f', 'c', 'b', 'a']",0
23,5,"['e', 'b', 'f', 'a', 'c', 'd']",0
24,6,"['f', 'd', 'b', 'e', 'a', 'c']",0
25,2,"['a', 'c', 'b', 'e', 'd', 'f']",0
26,3,"['e', 'c', 'd', 'a', 'b', 'f']",1
27,4,"['b', 'e', 'f', 'a', 'c', 'd']",0
28,5,"['b', 'f', 'c', 'd', 'e', 'a']",0
29,6,"['e', 'a', 'd', 'b', 'c', 'f']",1
30,2,"['e', 'b', 'd', 'c', 'f', 'a']",0
31,3,"['b', 'e', 'c', 'f', 'a', 'd']",0
32,4,"['d', 'e', 'c', 'f', 'b', 'a']",0
33,5,"['b', 'a', 'c', 'e', 'd', 'f']",0
34,6,"['a', 'd', 'f', 'b', 'c', 'e']",0
35,2,"['b', 'c', 'a', 'd', 'e', 'f']",0
36,3,"['b', 'c', 'f', 'd', 'e', 'a']",1
37,4,"['e', 'c', 'a', 'd', 'f', 'b']",0
38,5,"['f', 'e', 'b', 'c', 'd', 'a']",0
39,6,"['a', 'd', 'b', 'c', 'f', 'e']",0
40,2,"['b', 'c', 'a', 'e', 'd', 'f']",0
41,3,"['b', 'c', 'd', 'a', 'e', 'f']",0
42,4,"['f', 'c', 'e', 'd', 'b', 'a']",0
43,5,"['e', 'd', 'b', 'a', 'f', 'c']",0
44,6,"['a', 'f', 'd', 'c', 'b', 'e']",0
45,2,"['f', 'e', 'b', 'c', 'a', 'd']",0
46,3,"['f', 'b', 'a', 'e', 'c', 'd']",0
47,4,"['d', 'e', 'a', 'f', 'c', 'b']",0
48,5,"['f', 'a', 'c', 'd', 'e', 'b']",0
49,6,"['e', 'a', 'c', 'd', 'b', 'f']",1
50,2,"['c', 'f', 'b', 'a', 'e', 'd']",0
51,3,"['c', 'e', 'b', 'd', 'f', 'a']",0
52,4,"['b', 'a', 'c', 'f', 'e', 'd']",0
53,5,"['d', 'c', 'f', 'b', 'a', 'e']",1
54,6,"['e', 'f', 'c', 'd', 'b', 'a']",1
55,2,"['d', 'a', 'e', 'f', 'b', 'c']",0
56,3,"['f', 'b', 'c', 'e', 'd', 'a']",1
57,4,"['a', 'b', 'c', 'e', 'd', 'f']",1
58,5,"['f', 'd', 'a', 'b', 'c', 'e']",0
59,6,"['f', 'a', 'e', 'b', 'c', 'd']",0
60,2,"['e', 'a', 'c', 'f', 'b', 'd']",1
61,3,"['e', 'a', 'f', 'c', 'd', 'b']",0
62,4,"['f', 'd', 'b', 'e', 'a', 'c']",1
63,5,"['e', 'd', 'a', 'f', 'b', 'c']",0
64,6,"['e', 'b', 'c', 'a', 'f', 'd']",1
65,2,"['f', 'e', 'c', 'b', 'd', 'a']",0
66,3,"['e', 'a', 'f', 'c', 'b', 'd']",0
67,4,"['a', 'e', 'd', 'c', 'b', 'f']",0
68,5,"['c', 'b', 'a', 'd', 'f', 'e']",1
69,6,"['b', 'a', 'f', 'e', 'c', 'd']",0
70,2,"['c', 'e', 'b', 'a', 'f', 'd']",0
71,3,"['c', 'f', 'a', 'e', 'd', 'b']",0
72,4,"['d', 'b', 'e', 'c', 'a', 'f']",1
73,5,"['f', 'c', 'a', 'b', 'e', 'd']",0
74,6,"['f', 'a', 'b', 'c', 'e', 'd']",0
75,2,"['e', 'b', 'a', 'd', 'c', 'f']",1
76,3,"['d', 'e', 'b', 'f', 'a', 'c']",0
77,4,"['a', 'e', 'b', 'f', 'c', 'd']",1
78,5,"['e', 'a', 'b', 'c', 'd', 'f']",0
79,6,"['b', 'a', 'c', 'd', 'e', 'f']",1
80,2,"['d', 'e', 'c', 'b', 'a', 'f']",1
81,3,"['d', 'b', 'c', 'f', 'e', 'a']",0
82,4,"['e', 'd', 'f', 'a', 'b', 'c']",0
83,5,"['d', 'f', 'a', 'b', 'c', 'e']",0
84,6,"['b', 'e', 'f', 'c', 'd', 'a']",0
85,2,"['b', 'c', 'f', 'd', 'e', 'a']",0
86,3,"['b', 'a', 'e', 'c', 'd', 'f']",0
87,4,"['e', 'a', 'd', 'c', 'b', 'f']",0
88,5,"['f', 'd', 'e', 'c', 'a', 'b']",0
89,6,"['f', 'a', 'c', 'd', 'e', 'b']",0
90,2,"['a', 'c', 'e', 'f', 'b', 'd']",0
91,3,"['c', 'b', 'e', 'a', 'd', 'f']",0
92,4,"['c', 'f', 'd', 'e', 'b', 'a']",1
93,5,"['a', 'e', 'c', 'b', 'd', 'f']",0
94,6,"['e', 'b', 'f', 'c', 'd', 'a']",1
95,2,"['e', 'a', 'd', 'f', 'c', 'b']",0
96,3,"['b', 'a', 'e', 'c', 'f', 'd']",0
97,4,"['d', 'f', 'b', 'c', 'a', 'e']",0
98,5,"['b', 'f', 'e', 'a', 'c', 'd']",1
99,6,"['c', 'f', 'b', 'd', 'a', 'e']",1
Games won,by player 0,with heuristic1: ,72
Games won,by player 1,with heuristic2: ,28
